Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
TX010518-7,1/8/2018 0:00,,1/8/2018 0:00,300 Glazner Street,,Hawkins,TX,75765,LB: 8453,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-8,1/8/2018 0:00,,1/8/2018 0:00,16031 Stonebriar Ct,,Lindale,TX,75771,LB: 6834,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-9,1/8/2018 0:00,,1/8/2018 0:00,2405 N SH 37,,Quitman,TX,75783,LB: 2284,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX163236__3,1/8/2018 17:00,1/6/2018 0:00,1/8/2018 17:00,205 Furrh St,,Marshall,TX,75672,LB: 8637,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",Garycarter,,,Initial Winterization,150,,,,
104-105822__1,1/8/2018 23:00,,1/8/2018 23:00,120 County Road 2118,,Longview,TX,75603,LB: 4457,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":""Please make sure you clean the following: \nAppliances, Baseboards, Tubs, Bathroom Cabinet, Bathroom sink, Bathroom floor, Bathroom toilet, Cover plates, Door Frames, Fireplace, Floors, Kitchen cabinet doors, Kitchen counter, Kitchen sink, Walls, Interior window sills. These have all been marked as deficient by the Fannie Mae QC team.\n\nCan you also please install new light bulbs where burned out. Thank you"",""options"":null}]",Garycarter,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
104-105822__2,1/8/2018 23:00,,1/8/2018 23:00,120 County Road 2118,,Longview,TX,75603,LB: 4457,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Ongoing Deficiency"",""survey"":null,""instructions"":""Please duct tape the dryer vent, this should of been taken care of during initial services under the special start up package. Thank you"",""options"":null}]",Garycarter,,,Ongoing Deficiency,$0.00 ,,,,
108-093047,1/8/2018 23:00,,1/8/2018 23:00,2912 W FM 917,,Joshua,TX,76058,,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn - Paul Tims"",""survey"":"""",""instructions"":""Please pay the vendor the next available Friday"",""options"":null}]",gssbackup1,,,(Ongoing Ext) Periodic Lawn - Paul Tims,$75.00 ,,,,
108-093218,1/8/2018 23:00,,1/8/2018 23:00,8124 Pleasant Run Rd,,Alvarado,TX,76009,,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn - Paul Tims"",""survey"":"""",""instructions"":""please pay vendor next available Friday"",""options"":null}]",gssbackup1,,,(Ongoing Ext) Periodic Lawn - Paul Tims,$100.00 ,,,,
1222-140833__4,1/8/2018 23:00,,1/8/2018 23:00,1415 Cardinal Ln,,Burkburnett,TX,76354,LB: 3131,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":"""",""instructions"":"""",""options"":null}]",AmberChairez,,,Special Start Up Package,$75.00 ,,,,
144250,1/8/2018 23:00,12/21/2017 0:00,1/8/2018 23:00,2029 Churchhill Down Ln,,Trophy Club,TX,76262,Lockbox code is 5855,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Dewint"",""survey"":"""",""instructions"":""Please make sure that you complete this dewint on 1\/17\/18"",""options"":null}]",Lorenlowe,,,Dewint,25,,,,
OK161755__1,1/8/2018 23:00,1/5/2018 0:00,1/8/2018 23:00,1706 Irving St,,Muskogee,OK,74403,LB: 4547,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Exterior Maintenance"",""survey"":"""",""instructions"":"""",""options"":null}]",Michaelz,,,Initial Exterior Maintenance,$100.00 ,,,,
OK161755__1__1,1/8/2018 23:00,1/5/2018 0:00,1/8/2018 23:00,1706 Irving St,,Muskogee,OK,74403,LB: 1871,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",Michaelz,,,Initial Winterization,$100.00 ,,,,
OK464105221,1/8/2018 23:00,,1/8/2018 23:00,4113 E Woodrow Pl,,Tulsa,OK,74115,LB: 0976,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Re-Winterization"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Re-Winterization,50,,,,
OK464105448,1/8/2018 23:00,,1/8/2018 23:00,9413 Nawassa Dr,,Midwest city,OK,73130,LB: 9928,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""De-witnerization"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,De-winterization,50,,,,
PS18-00124,1/8/2018 23:00,1/5/2018 0:00,1/8/2018 23:00,131 W SPRING CREEK PKWY,,Plano,TX,75023,Must have the specialist on site while removing debris,Invoiced,Complete,City of Plano,"[{""serviceName"":""COP_ Trash removal"",""survey"":"""",""instructions"":""Specialist must be on site to ensure correct trash items are removed."",""options"":null}]",wemowdallas,,,COP: Trash removal,75,,,,
TX133622,1/8/2018 23:00,1/7/2018 0:00,1/8/2018 23:00,7274 Waters Edge Dr,,The Colony,TX,75056,LB: 5160,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""Re-winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",DianeJackson,,,Re-winterization,30,,,,
082142-6__1,1/9/2018 0:00,,1/9/2018 0:00,5511 S Atlanta Ave,,Tulsa,OK,74105,,Invoiced,,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Exterior Window Package- Vendor never received payment for,75,,,,
120217-112__1,1/9/2018 0:00,,1/9/2018 0:00,HC 60 BOX 1,,CASTLE,OK,74833,1702961858,Invoiced,,Fannie Mae,"[{""serviceName"":""Deduction for over payment of trash removal"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Deduction for over payment of trash removal,$240.00 ,,,,
OK010518-1,1/9/2018 0:00,,1/9/2018 0:00,1504 SOMERSET PL,,DUNCAN,OK,73533,LB: 3776,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK010518-101__1,1/9/2018 0:00,,1/9/2018 0:00,2500 Cedar Park Dr,,Oklahoma City,OK,73120,LB: 0547,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""de-witnerization"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,De-winterization,50,,,,
OK010518-101__1__1,1/9/2018 0:00,,1/9/2018 0:00,2500 Cedar Park Dr,,Oklahoma City,OK,73120,LB: 0547,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Plumbing Repair"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,Plumbing Repair,90,,,,
OK010518-2,1/9/2018 0:00,,1/9/2018 0:00,11 NW 59TH ST,,LAWTON,OK,73505,LB: 7873,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK010518-25,1/9/2018 0:00,,1/9/2018 0:00,11401 SOUTHEAST 9TH STRE,,Oklahoma City,OK,73165,LB: 2404,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-7,1/9/2018 0:00,1/8/2018 0:00,1/9/2018 0:00,807 NW 33RD ST,,LAWTON,OK,73505,LB: 9488,Invoiced,,Fannie Mae,"[{""serviceName"":""Invoice And Complete Field Services Order"",""survey"":null,""instructions"":"""",""options"":null}]",gssbackup1,,,Invoice And Complete Field Services Order,240,,,,
TX010518-114,1/9/2018 0:00,,1/9/2018 0:00,647 County Rd 1987,,Yantis,TX,75497,LB: 3757,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-133,1/9/2018 0:00,,1/9/2018 0:00,401 LINE DRIVE,,GAINESVILLE,TX,76240,1734422505,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":"""",""instructions"":""Diane Jackson | 940-808-3299 | dandkmanagement2016@gmail.com"",""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX010518-19,1/9/2018 0:00,,1/9/2018 0:00,1734 Private Rd 2541,,Quinlan,TX,75474,LB: 0842,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-19__1,1/9/2018 0:00,,1/9/2018 0:00,1734 Private Rd 2541,,Quinlan,TX,75474,LB: 0842,Invoiced,,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Filemonv,,,Debris Removal,$45.00 ,,,,
TX010518-20,1/9/2018 0:00,,1/9/2018 0:00,127 Briarmeadow Dr,,Longview,TX,75604,LB: 9001,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-21,1/9/2018 0:00,,1/9/2018 0:00,3700 Redwood Trl,,Marshall,TX,75672,LB: 0164,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-23,1/9/2018 0:00,,1/9/2018 0:00,4634 SE 1000,,Andrews,TX,79714,LB: 6118,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",JuanDelgado,,,(Ongoing Ext) Periodic Lawn,$50.00 ,,,,
TX010518-24,1/9/2018 0:00,,1/9/2018 0:00,176 Mesa Verde Path,,Hawkins,TX,75765,LB: 9218,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-25,1/9/2018 0:00,,1/9/2018 0:00,1580 County Road 2800,,Mineola,TX,75773,LB: 6539,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-26,1/9/2018 0:00,,1/9/2018 0:00,2105 Handly Street,,Texarkana,TX,75501,LB: 1149,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",kristywilliams,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-28,1/9/2018 0:00,,1/9/2018 0:00,807 5th St,,Honey Grove,TX,75446,LB: 0895,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcuspotter,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-29,1/9/2018 0:00,,1/9/2018 0:00,600 Western Hills T,,Granbury,TX,76049,LB: 0429,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
TX010518-33,1/9/2018 0:00,,1/9/2018 0:00,811 West 18th St,,Big Spring,TX,79720,LB: 5376,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Rubenanahimartinez,,,(Ongoing Ext) Periodic Lawn,$60.00 ,,,,
105-091519,1/9/2018 23:00,,1/9/2018 23:00,1088 Havenbrook,,Wills Point,TX,75169,LB: 6091,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior Maintenance"",""survey"":null,""instructions"":"""",""options"":null}]",Angelav,,,Initial Interior Maintenance,$180.00 ,,,,
105-091519__1,1/9/2018 23:00,11/13/2017 0:00,1/9/2018 23:00,1088 Havenbrook,,Wills Point,TX,75169,LB: 6091,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Trash Removal"",""survey"":""PI10Trashout-v1"",""instructions"":"""",""options"":null}]",Angelav,,,Initial Trash Removal,$475.00 ,,,,
105-091519__2,1/9/2018 23:00,,1/9/2018 23:00,1088 Havenbrook,,Wills Point,TX,75169,LB: 6091,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",Angelav,,,Special Start Up Package,$75.00 ,,,,
105-091519__4,1/9/2018 23:00,,1/9/2018 23:00,1088 Havenbrook,,Wills Point,TX,75169,LB: 6091,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Clean Package"",""survey"":null,""instructions"":"""",""options"":null}]",Angelav,,,Exterior Window Clean Package,$75.00 ,,,,
105-091519__5,1/9/2018 23:00,,1/9/2018 23:00,1088 Havenbrook,,Wills Point,TX,75169,LB: 6091,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter Package"",""survey"":null,""instructions"":"""",""options"":null}]",Angelav,,,Roof and Gutter Package,$85.00 ,,,,
105-164737,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior Maintenance"",""survey"":"""",""instructions"":""No utilities at this time, you will have to bring a generator and your own water to perform the services completely"",""options"":null}]",TeddyBrabham,,,Initial Interior Maintenance,$180.00 ,,,,
105-164737__2,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Initial Exterior Maintenance"",""survey"":null,""instructions"":"""",""options"":null}]",TeddyBrabham,,,Initial Exterior Maintenance,$100.00 ,,,,
105-164737__4,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":"""",""instructions"":"""",""options"":null}]",TeddyBrabham,,,Special Start Up Package,$75.00 ,,,,
105-164737__6,1/9/2018 23:00,,1/9/2018 23:00,"717 Ochiltree St,",,Daingerfield,TX,75638,LB: 8564,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Clean Package"",""survey"":"""",""instructions"":"""",""options"":null}]",TeddyBrabham,,,Exterior Window Clean Package,$75.00 ,,,,
PS17-09992,1/9/2018 23:00,1/8/2018 0:00,1/9/2018 23:00,1101 Edgefield Drive,,Plano,TX,75075,,Invoiced,Complete,City of Plano,"[{""serviceName"":""COP_ Trash removal"",""survey"":null,""instructions"":""Remove 4 cyd of trash consisting of tires, buckets, can, and other debris in the front yard and the wood, boards, plastic crates along the south side of the house."",""options"":null}]",wemowdallas,,,COP: Trash removal,60,,,,
AD-010918-02,1/10/2018 0:00,,1/10/2018 0:00,2020 Alma St,,Keller,Texas,76248,,Invoiced,Complete,Rob Mauga,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Lorenlowe,,,Periodic Lawn,$30.00 ,,,,
AD-010918-03,1/10/2018 0:00,,1/10/2018 0:00,1051 Willowmist Drive,,Prosper,Texas,75078,,Invoiced,Complete,Aaron Clements,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,Periodic Lawn,$40.00 ,,,,
AD-010918-04,1/10/2018 0:00,,1/10/2018 0:00,208 Joseph Drive,,Glenn Heights,Texas,75154,,Invoiced,Complete,Ira Thomas,"[{""serviceName"":""Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Filemonv,,,Periodic Lawn,$35.00 ,,,,
AD-010918-05,1/10/2018 0:00,,1/10/2018 0:00,176 Fairway Loop Drive,,Pottsboro,Texas,75076,,Invoiced,Complete,Aaron Clements,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcuspotter,,,Periodic Lawn,$40.00 ,,,,
AD-010918-06,1/10/2018 0:00,,1/10/2018 0:00,710 Windy Hill,,Celeste,Texas,75423,,Invoiced,Complete,Aaron Clements,"[{""serviceName"":""Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Filemonv,,,Periodic Lawn,$30.00 ,,,,
AD-010918-07,1/10/2018 0:00,,1/10/2018 0:00,504 Pecan Street,,Forreston,Texas,76041,,Invoiced,Complete,Ira Thomas,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",LatriciaCheek,,,Periodic Lawn,$30.00 ,,,,
AD-010918-08,1/10/2018 0:00,,1/10/2018 0:00,1306 Kelly Green Ct,,Keller,Texas,76248,,Invoiced,Complete,Joe Peterson,"[{""serviceName"":""Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Lorenlowe,,,Periodic Lawn,$30.00 ,,,,
OK010518-19__1,1/10/2018 0:00,,1/10/2018 0:00,507 E 9TH ST,,PAWHUSKA,OK,74056,LB: 9041,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""De-Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",Michaelz,,,De-Winterization,75,,,,
OK010518-26,1/10/2018 0:00,,1/10/2018 0:00,9413 Nawassa Dr,,Midwest City,OK,73130,LB: 9928,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK010518-27,1/10/2018 0:00,,1/10/2018 0:00,4800 CASPER,,OKLAHOMA CITY,OK,73110,LB: 0949,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-3,1/10/2018 0:00,,1/10/2018 0:00,5425 S DEWEY AVE,,OKLAHOMA CITY,OK,73109,LB: 3117,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,42,,,,
OK010518-32,1/10/2018 0:00,,1/10/2018 0:00,10508 NW 16TH ST,,Yukon,OK,73099,LB: 9548,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
OK010518-33,1/10/2018 0:00,,1/10/2018 0:00,613 Greenfield Dr,,Yukon,OK,73099,LB: 1997,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",gustavocamacho,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
OK010518-33__1,1/10/2018 0:00,,1/10/2018 0:00,613 Greenfield Dr,,Yukon,OK,73099,LB: 1997,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Re-Winterization"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Re-Winterization,100,,,,
OK010518-43,1/10/2018 0:00,,1/10/2018 0:00,14318 W Whitley Rd,,Tahlequah,OK,74464,LB: 7601,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",jeremyjennings,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
OK010518-47,1/10/2018 0:00,,1/10/2018 0:00,2103 S MISSOURI PL,,CLAREMORE,OK,74019,LB: 5421,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-48,1/10/2018 0:00,,1/10/2018 0:00,8904 N 140th East Ave,,Owasso,OK,74055,LB: 2083,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK010518-49,1/10/2018 0:00,,1/10/2018 0:00,5511 S ATLANTA AVE,,TULSA,OK,74105,LB: 1590,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-65,1/10/2018 0:00,,1/10/2018 0:00,17268  89TH EAST AVE S,,BIXBY,OK,74008,LB: 2351,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Michaelz,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-76,1/10/2018 0:00,,1/10/2018 0:00,HC 60 BOX 1,,CASTLE,OK,74833,LB: 1858,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",robertnelson,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-77,1/10/2018 0:00,,1/10/2018 0:00,2454 COUNTY ST 2798,,CHICKASHA,OK,73018,LB: 0619,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK010518-78,1/10/2018 0:00,,1/10/2018 0:00,28 COUNTRY CREEK DRIVE,,MCLOUD,OK,74851,LB: 6417,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",robertnelson,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK010518-93,1/10/2018 0:00,,1/10/2018 0:00,2901 Camelot Dr,,Bartlesville,OK,74006,LB: 9778,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":"""",""instructions"":"""",""options"":null}]",Colenes,,,(Ongoing Int) Periodic Clean,50,,,,
OK010518-95,1/10/2018 0:00,,1/10/2018 0:00,14318 W Whitley Rd,,Tahlequah,OK,74464,LB: 7601,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",jeremyjennings,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
OK010518-96,1/10/2018 0:00,,1/10/2018 0:00,5511 S ATLANTA AVE,,TULSA,OK,74105,LB: 1590,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
OK010518-97,1/10/2018 0:00,,1/10/2018 0:00,11983 HWY 44,,DILL CITY,OK,73641,LB: 4894,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",royherndon,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
OK010518-97__1,1/10/2018 0:00,,1/10/2018 0:00,11983 HWY 44,,DILL CITY,OK,73641,LB: 4894,Invoiced,Viewed,Fannie Mae,"[{""serviceName"":""Re-Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",royherndon,,,Re-Winterization,$30.00 ,,,,
OK010518-98,1/10/2018 0:00,,1/10/2018 0:00,407 Kennedy Ave,,PRAGUE,OK,74864,LB: 1751,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",robertnelson,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
OK010518-9__1,1/10/2018 0:00,,1/10/2018 0:00,2500 Cedar Park Dr,,Oklahoma City,OK,73120,LB: 0547,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""Re-winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",Clintg,,,Re-winterization,100,,,,
TX010518-102,1/10/2018 0:00,,1/10/2018 0:00,503 McBride St,,Como,TX,75431,LB: 3462,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":"""",""instructions"":""Please make sure the tree branches are trimmed back away from the home, they cannot be touching the roof line or the property in any way. This was noted in the Fannie Mae QC inspection"",""options"":null}]",victordudley,,,(Ongoing Ext) Periodic Lawn,$75.00 ,,,,
TX010518-115,1/10/2018 0:00,,1/10/2018 0:00,1551 Snapdragon Road,,Diana,TX,75640,LB: 1821,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-117,1/10/2018 0:00,,1/10/2018 0:00,210 Willowbrook Dr,,Duncanville,TX,75116,LB: 6173,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-119,1/10/2018 0:00,,1/10/2018 0:00,3848 Royal Lane,,Dallas,TX,75229,LB: 4471,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-121,1/10/2018 0:00,,1/10/2018 0:00,8880 Private Road 5368,,Blue Ridge,TX,75424,LB: 5955,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX010518-122,1/10/2018 0:00,,1/10/2018 0:00,9547 State Hwy 154 E,,Diana,TX,75640,LB: 0553,Invoiced,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Garycarter,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
